ConsumerRecord(topic='surprise_me', partition=0, offset=0, timestamp=1703786717630, timestamp_type=0, key=None, value=b'629', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
Odd number 147 added to numtest. The whole message is ConsumerRecord(topic='surprise_me', partition=0, offset=12, timestamp=1703786777685, timestamp_type=0, key=None, value=b'147', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='surprise_me', partition=0, offset=13, timestamp=1703786782691, timestamp_type=0, key=None, value=b'1927', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
Odd number 1927 added to numtest. The whole message is ConsumerRecord(topic='surprise_me', partition=0, offset=13, timestamp=1703786782691, timestamp_type=0, key=None, value=b'1927', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='surprise_me', partition=0, offset=14, timestamp=1703786787693, timestamp_type=0, key=None, value=b'378', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='surprise_me', partition=0, offset=15, timestamp=1703786792695, timestamp_type=0, key=None, value=b'2085', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
Odd number 2085 added to numtest. The whole message is ConsumerRecord(topic='surprise_me', partition=0, offset=15, timestamp=1703786792695, timestamp_type=0, key=None, value=b'2085', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='surprise_me', partition=0, offset=16, timestamp=1703786797700, timestamp_type=0, key=None, value=b'2438', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='surprise_me', partition=0, offset=17, timestamp=1703786802705, timestamp_type=0, key=None, value=b'1238', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='surprise_me', partition=0, offset=18, timestamp=1703786807709, timestamp_type=0, key=None, value=b'935', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
Odd number 935 added to numtest. The whole message is ConsumerRecord(topic='surprise_me', partition=0, offset=18, timestamp=1703786807709, timestamp_type=0, key=None, value=b'935', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
